car_model,price,year_model,kms,color,fueltype
Logan 1600,18000000,2008,131.362,Rojo,Gasolina y gas
Logan Intense At ,50500000,2019,52.903,Gris,Gasolina
Logan Life 8v Fl 2021,41500000,2021,32,Rojo,Gasolina
Logan Privilege At,38000000,2017,99.729,Dorado,Gasolina
Logan Zen. Full Equipo 2023 Motor 1.6  4 Airbag  Rin De Lujo,58900000,2023,7,Gris,Gasolina
Renault Koleos 2.5 Dynamique 4x4,44900000,2014,96,Blanco,Gasolina
Renault Logal Zen 2023,60900000,2023,21.5,Gris,Gasolina
Renault Logan,37900000,2020,52,Plateado,Gasolina
Renault Logan,35000000,2016,78.066,Rojo,Gasolina
Renault Logan,23500000,2011,112,Gris,Gasolina
Renault Logan,55900000,2023,27.05,Blanco,Gasolina
"Renault Logan 1,6 AUTHENTIC/LIFE MT",44500000,2023,30.726,Gris,Gasolina
Renault Logan 1.4 2009,23000000,2009,115,Gris,Gasolina
Renault Logan 1.4 Dynamique,18000000,2006,185,Gris,Gasolina
Renault Logan 1.4 Dynamique,20000000,2008,175.2,Color not found,Gasolina
Renault Logan 1.4 Dynamique,18900000,2006,170,Color not found,Gasolina
Renault Logan 1.4 Dynamique,20900000,2007,92,Plateado,Gasolina
Renault Logan 1.4 Dynamique,17490000,2006,242,Verde,Gasolina
Renault Logan 1.4 Dynamique,17000000,2006,208,Blanco,Gasolina
Renault Logan 1.4 Dynamique,20900000,2007,179,Rojo,Gasolina
Renault Logan 1.4 Dynamique,18000000,2006,147.8,Plateado,Gasolina
Renault Logan 1.4 Dynamique,18000000,2007,194,Color not found,Gasolina
Renault Logan 1.4 Entry Familier,23000000,2009,182,Azul,Gasolina
Renault Logan 1.4 Entry Familier,22000000,2011,131,Gris,Gasolina
Renault Logan 1.4 Entry Familier,22900000,2011,130,Gris,Gasolina
Renault Logan 1.4 Entry Familier,22900000,2011,112,Azul,Gasolina
Renault Logan 1.4 Entry Familier,22500000,2011,121,Gris,Gasolina
Renault Logan 1.4 Entry Familier,21900000,2011,160,Color not found,Gasolina
Renault Logan 1.4 Entry Familier,27900000,2011,76.5,Negro,Gasolina
Renault Logan 1.4 Entry Familier,22500000,2010,101,Rojo,Gasolina
Renault Logan 1.4 Entry Familier,21000000,2010,204,Blanco,Gasolina
Renault Logan 1.4 Entry Familier,24500000,2011,84,Rojo,Gasolina
Renault Logan 1.4 Entry Familier,20500000,2010,175,Negro,Gasolina
Renault Logan 1.4 Entry Familier,24000000,2011,208.026,Negro,Gasolina
Renault Logan 1.4 Entry Familier,24900000,2011,102.5,Gris,Gasolina
Renault Logan 1.4 Entry Familier,20500000,2011,198.6,Color not found,Gasolina
Renault Logan 1.4 Entry Familier,22000000,2011,145,Color not found,Gasolina
Renault Logan 1.4 Entry Familier,22000000,2010,188.081,Azul,Gasolina
Renault Logan 1.4 Entry Familier,20000000,2011,128.5,Color not found,Gasolina
Renault Logan 1.4 Entry Familier,19000000,2009,113,Color not found,Gasolina
Renault Logan 1.4 Entry Familier,23000000,2010,158,Gris,Gasolina
Renault Logan 1.4 Entry Familier,23000000,2011,113,Rojo,Gasolina
Renault Logan 1.4 Entry Familier Fii,27500000,2013,99.4,Gris,Gasolina
Renault Logan 1.4 Entry Familier Fii,23500000,2013,207,Rojo,Gasolina
Renault Logan 1.4 Entry Familier Fii,29900000,2016,68,Plateado,Gasolina
Renault Logan 1.4 Entry Familier Fii,26800000,2014,134,Gris,Gasolina
Renault Logan 1.4 Entry Familier Fii,28500000,2016,113.2,Color not found,Gasolina
Renault Logan 1.4 Entry Familier Fii,25000000,2012,184,Gris,Gasolina
Renault Logan 1.4 Entry Familier Fii,24500000,2013,227,Blanco,Gasolina
Renault Logan 1.4 Entry Familier Fii,23990000,2012,153,Gris,Gasolina
Renault Logan 1.4 Entry Familier Fii,30000000,2015,133.634,Rojo,Gasolina
Renault Logan 1.4 Entry Familier Fii,26900000,2013,130,Color not found,Gasolina
Renault Logan 1.4 Entry Familier Fii,23900000,2014,149,Negro,Gasolina
Renault Logan 1.4 Entry Familier Fii,23900000,2012,127,Verde,Gasolina
Renault Logan 1.4 Entry Familier Fii,25990000,2015,170,Gris,Gasolina
Renault Logan 1.4 Entry Familier Fii,25500000,2012,109,Rojo,Gasolina
Renault Logan 1.4 Entry Familier Fii,23500000,2012,119,Color not found,Gasolina
Renault Logan 1.4 Entry Familier Fii,25500000,2012,119.07,Rojo,Gasolina
Renault Logan 1.4 Entry Familier Fii,27900000,2014,113,Color not found,Gasolina
Renault Logan 1.4 Entry Familier Fii,23800000,2014,99,Gris,Gasolina
Renault Logan 1.4 Entry Familier Fii,23000000,2011,101,Color not found,Gasolina
Renault Logan 1.4 Entry Familier Fii,25500000,2013,120,Gris,Gasolina
Renault Logan 1.4 Entry Familier Fii,23500000,2013,139.68,Negro,Gasolina
Renault Logan 1.4 Entry Familier Fii,22500000,2013,139,Plateado,Gasolina
Renault Logan 1.4 Entry Familier Fii,32000000,2016,90.5,Rojo,Gasolina
Renault Logan 1.4 Entry Familier Fii,23000000,2014,138,Negro,Gasolina
Renault Logan 1.4 Entry Familier Fii,31500000,2015,64,Color not found,Gasolina
Renault Logan 1.4 Entry Familier Fii,25000000,2015,171,Gris,Gasolina
Renault Logan 1.4 Entry Familier Fii,28500000,2012,71,Rojo,Gasolina
Renault Logan 1.4 Entry Familier Fii,22500000,2011,107,Plateado,Gasolina
Renault Logan 1.4 Entry Familier Fii,26000000,2015,115,Negro,Gasolina
Renault Logan 1.4 Entry Familier Fii,24500000,2012,153,Rojo,Gasolina
Renault Logan 1.4 Entry Familier Fii,23000000,2013,102.7,Rojo,Gasolina
