car_model;price;year_model;kms;color;fueltype
Chevrolet Sail 1.4 Ltz;$31.500.000;2016;69.000;Azul;Gasolina
Chevrolet Sail 1.4 Ls Mecánica;$29.000.000;2017;70.000;Color not found;Gasolina
Chevrolet Sail 1.4 Ls;$29.900.000;2017;71.000;Gris;Gasolina
Chevrolet Sail 1.4 Lt;$33.900.000;2019;78.000;Plateado;Gasolina
Chevrolet Sail 1.4 Ltz;$40.000.000;2020;65.347;Azul;Gasolina
Chevrolet Sail 1.4 Ls;$35.000.000;2019;85.000;Gris;Gasolina
Chevrolet Sail 1.4 Ltz;$26.990.000;2015;83.000;Color not found;Gasolina
Chevrolet Sail 1.4cc Mt Aa ;$25.200.000;2015;68.200;Blanco;Gasolina
Chevrolet Sail 1.4 Ltz;$27.500.000;2015;159.558;Blanco;Gasolina
Chevrolet Sail 1.4 Ls;$35.000.000;2019;80.300;Gris;Gasolina
Chevrolet Sail 1.4 Ltz;$41.000.000;2018;35.847;Azul;Gasolina
Chevrolet Sail Ls;$35.900.000;2018;98.915;Plateado;Gasolina
Chevrolet Sail 1.4 Ls Mecánica;$26.700.000;2017;305.705;Gris;Gasolina
Chevrolet Sail 1.4 Ltz;$29.900.000;2015;85.000;Plateado;Gasolina
Chevrolet Sail 1.4 Ltz;$40.500.000;2020;45.100;Rojo;Gasolina
Chevrolet Sail .;$29.300.000;2016;104.000;Plateado;Gasolina
Chevrolet Sail LT 1.4 MT;$26.990.000;2014;85.000;Plateado;Gasolina
Chevrolet Sail 1.4 Ltz;$34.900.000;2018;93.000;Plateado;Gasolina
Chevrolet Sail 1.4 Ls;$23.000.000;2015;104.566;Plateado;Gasolina
Chevrolet Sail 1.4 Ltz;$30.500.000;2018;85.000;Gris;Gasolina
Chevrolet Sail 1.4 Ltz;$35.000.000;2019;93.326;Gris;Gasolina
Chevrolet Sail 1.4 Ltz;$31.900.000;2018;116.000;Azul;Gasolina
Chevrolet Sail ltz 1.4;$35.000.000;2017;125.000;Color not found;Gasolina
Chevrolet Sail 1.4 Ls Mecánica;$35.900.000;2017;80.934;Plateado;Gasolina
Chevrolet Sail 1.4 Ls;$30.000.000;2015;110.000;Gris;Gasolina
Chevrolet Sail 1.4 Ls;$26.900.000;2015;119.000;Rojo;Gasolina
Chevrolet Sail LTZ SPORT;$24.900.000;2013;1;Azul;Gasolina
Chevrolet Sail 1.4 Ls;$33.500.000;2016;81.081;Plateado;Gasolina
Chevrolet Sail 1.4 Lt Hb Mecanico;$35.900.000;2015;99.835;Negro;Gasolina
Chevrolet Sail 1.4 Lt;$33.900.000;2018;76.100;Gris;Gasolina
Chevrolet Sail 1.4 Lt Sport;$28.490.000;2014;108.000;Gris;Gasolina
Chevrolet Sail 1.4 Ltz Sport;$33.900.000;2017;85.000;Gris;Gasolina
Chevrolet Sail 1.4 Ltz;$35.000.000;2015;54.000;Plateado;Gasolina
Chevrolet Sail 1.4 Lt Sport;$27.900.000;2014;97.800;Color not found;Gasolina
Chevrolet Sail 1.4 LS con aire;$29.600.000;2016;81.000;Color not found;Gasolina
Chevrolet Sail 1.4 LS Mecanico Sedan;$31.500.000;2019;47.000;Rojo;Gasolina
Chevrolet Sail 1.4 Ls;$31.500.000;2017;52.421;Plateado;Gasolina
Chevrolet Sail 1.4 Ltz;$29.800.000;2015;112.000;Gris;Gasolina
Chevrolet Sail 1.4 LS con Aire;$32.900.000;2017;46.500;Gris;Gasolina
Chevrolet Sail 1.4 Ls;$34.000.000;2016;85.000;Plateado;Gasolina
Chevrolet Sail 1.4 Ls;$33.500.000;2016;92.000;Gris;Gasolina
Chevrolet Sail 1.4 LS con Aire;$38.900.000;2020;39.000;Plateado;Gasolina
Chevrolet Sail 1.4 Lt;$32.900.000;2017;58.200;Blanco;Gasolina
Chevrolet Sail 1.4 Ls;$29.500.000;2015;88.000;Gris;Gasolina
Chevrolet Sail 1.4 Lt;$30.900.000;2018;88.000;Gris;Gasolina
Chevrolet Sail 1.4 Ls;$31.065.000;2018;81.873;Blanco;Gasolina
Chevrolet Sail 1.4 Ls Mecánica;$28.900.000;2017;72.000;Color not found;Gasolina
Chevrolet Sail 1.4 Lt;$37.900.000;2019;59.000;Azul;Gasolina
Chevrolet Sail 1.4 Ltz;$36.000.000;2019;65.000;Rojo;Gasolina
Chevrolet Sail 1.4 Ls;$35.500.000;2018;49.000;Gris;Gasolina
Chevrolet Sail 1.4 Ls;$33.800.000;2018;120.000;Blanco;Gasolina
Chevrolet Sail 1.4 Ls;$33.900.000;2018;32.000;Azul;Gasolina
Chevrolet Sail 1.4 Lt;$30.900.000;2015;44.000;Azul;Gasolina
Chevrolet Sail 1.4l Mecánica;$36.960.000;2018;48.599;Rojo;Gasolina
Chevrolet Sail 1.4 Lt;$33.900.000;2018;50.300;Plateado;Gasolina
Chevrolet Sail 1.4 Ltz;$29.700.000;2016;75.000;Gris;Gasolina
Chevrolet Sail 1.4 Ltz;$28.500.000;2016;78.000;Color not found;Gasolina
Chevrolet Sail 1.4 Ltz;$36.000.000;2018;38.000;Negro;Gasolina
Chevrolet Sail 1.4 Ltz;$29.500.000;2014;120.350;Plateado;Gasolina
Chevrolet Sail 1.4 Ltz;$31.800.000;2016;100.000;Color not found;Gasolina
Chevrolet Sail 1.4 Lt;$32.900.000;2018;75.000;Blanco;Gasolina
Chevrolet Sail 1.4 Ls;$29.000.000;2016;108.700;Plateado;Gasolina
Chevrolet Sail 1.4 Ltz;$27.800.000;2014;109.620;Rojo;Gasolina
Chevrolet Sail 1.4 Ltz;$31.900.000;2017;125.000;Rojo;Gasolina
Chevrolet Sail 1.4 Lt;$31.900.000;2018;49.000;Color not found;Gasolina
Chevrolet Sail 1.4 Ls;$31.800.000;2018;109.000;Plateado;Gasolina
Chevrolet Sail 1.4 Ls;$34.900.000;2018;62.620;Gris;Gasolina
Chevrolet Sail 1.4 Ls;$33.900.000;2019;89.050;Gris;Gasolina
Chevrolet Sail 1.4 Ls;$29.700.000;2015;76.000;Color not found;Gasolina
Chevrolet Sail 1.4 Lt;$35.900.000;2018;80.000;Color not found;Gasolina
Chevrolet Sail 1.4 Ltz Sport;$29.500.000;2016;94.300;Color not found;Gasolina
Chevrolet Sail 1.4 Lt;$35.800.000;2018;42.200;Color not found;Gasolina
Chevrolet Sail 1.4 Lt 5 p;$26.500.000;2015;108.678;Color not found;Gasolina
Chevrolet Sail 1.4 Ls;$26.800.000;2013;80.000;Color not found;Gasolina
Chevrolet Sail ltz 5p sport;$29.900.000;2014;120.000;Blanco;Gasolina
Chevrolet Sail 1.4 Ltz;$32.800.000;2019;145.800;Gris;Gasolina
Chevrolet Sail 1.4 Ls;$35.000.000;2018;68.000;Blanco;Gasolina
Chevrolet Sail 1.4 Ltz;$33.800.000;2018;88.000;Color not found;Gasolina
Chevrolet Sail LTZ 1.4;$37.490.000;2020;41.000;Azul;Gasolina
Chevrolet Sail 1.4 Ltz Sport;$29.500.000;2016;94.300;Color not found;Gasolina
Chevrolet Sail 1.4 Ltz Sport;$25.900.000;2015;90.000;Gris;Gasolina
Chevrolet Sail Lt;$33.500.000;2018;47.000;Gris;Gasolina
Chevrolet Sail 1.4 Lt;$28.000.000;2014;98.000;Blanco;Gasolina
Chevrolet Sail 1.4 Ls;$34.500.000;2018;56.000;Color not found;Gasolina
Chevrolet Sail 1.4 Ls;$32.900.000;2019;49.700;Color not found;Gasolina
Chevrolet Sail 1.4 Ls;$29.500.000;2017;98.249;Color not found;Gasolina
